Rank,Prefix,Entity,ADIF Code,Needed %
1,P5,DPRK (North Korea),344,100.0%
2,ZS8,Prince Edward & Marion Islands,201,96.2%
3,KH7K,Kure Island,138,96.1%
4,KH3,Johnston Island,123,95.0%
5,VK0M,Macquarie Island,153,94.1%
6,3Y-B,Bouvet Island,24,90.7%
7,BS7,Scarborough Reef,506,89.2%
8,KH4,Midway Island,174,87.8%
9,CE0X,San Felix Islands,217,87.5%
10,FT-W,Crozet Island,41,86.6%
11,3Y-P,Peter 1 Island,199,85.8%
12,JD1-M,Minami Torishima,177,83.9%
13,KH1,Baker Howland Islands,20,83.9%
14,T31,Central Kiribati,31,83.3%
15,KH9,Wake Island,297,82.9%
16,SV/A,Mount Athos,180,82.8%
17,XF4,Revillagigedo,204,82.3%
18,ZK3,Tokelau Islands,270,81.8%
19,YV0,Aves Island,17,81.7%
20,KH5,Palmyra & Jarvis Islands,197,81.1%
21,FT-G,Glorioso Island,99,80.9%
22,T33,Banaba Island,490,80.9%
23,BV9P,Pratas Island,505,80.7%
24,PY0T,Trindade & Martim Vaz Islands,273,78.8%
25,ZL9,New Zealand Subantarctic Islands,16,78.7%
26,PY0S,Saint Peter and Paul Rocks,253,76.8%
27,E5-N,North Cook Islands,191,76.0%
28,EZ,Turkmenistan,280,74.6%
29,VP8,Falkland Islands,141,74.5%
30,FT-X,Kerguelen Island,131,74.4%
31,FK-C,Chesterfield Islands,512,74.3%
32,ZL8,Kermadec Island,133,73.5%
33,3D2-C,Conway Reef,489,72.4%
34,KH8,American Samoa,9,72.2%
35,FT-T,Tromelin Island,276,72.2%
36,E6,Niue,188,71.9%
37,KP5,Desecheo Island,43,71.3%
38,KH8-S,Swains Island,515,71.1%
39,H40,Temotu Province,507,70.4%
40,VK9M,Mellish Reef,171,70.1%
41,FW,Wallis & Futuna Islands,298,69.4%
42,KG4,Guantanamo Bay,105,69.0%
43,TI9,Cocos Island,37,68.7%
44,V7,Marshall Islands,N/A,68.2%
45,T30,Western Kiribati,301,68.1%
46,VP8-S,South Sandwich Islands,240,67.5%
47,A3,Tonga,160,67.4%
48,FO-M,Marquesas Islands,509,67.1%
49,3D2-R,Rotuma,460,66.3%
50,FO,French Polynesia,175,66.0%
51,C2,Nauru,157,65.0%
52,TG,Guatemala,76,64.5%
53,V6,Micronesia,173,64.5%
54,H4,Solomon Islands,185,64.4%
55,E5-S,South Cook Islands,234,63.8%
56,AP,Pakistan,372,63.6%
57,KP1,Navassa Island,182,63.3%
58,YK,Syria,384,63.2%
59,FO-A,Austral Islands,508,62.3%
60,5W,Samoa,190,62.3%
61,VK9W,Willis Island,303,61.9%
62,T2,Tuvalu,282,61.1%
63,4U1UN,United Nations HQ,289,61.0%
64,T32,Eastern Kiribati,48,60.3%
65,ZD9,Tristan da Cunha & Gough Islands,N/A,59.8%
66,FO-C,Clipperton Island,N/A,59.5%
67,VP8-O,South Orkney Islands,238,58.7%
68,YJ,Vanuatu,158,58.7%
69,CP,Bolivia,104,58.6%
70,"FT-J,E","Juan de Nova, Europa",124,58.6%
71,VP6,Pitcairn Island,N/A,58.0%
72,VK0H,Heard Island,111,58.0%
73,VP8-G,South Georgia Islands,235,57.2%
74,XZ,Myanmar,309,57.1%
75,HK0-M,Malpelo Island,N/A,56.9%
76,VP6-D,Ducie Island,N/A,56.8%
77,JD1-O,Ogasawara,192,56.7%
78,HV,Vatican City,295,56.3%
79,T8,Palau,22,56.2%
80,HP,Panama,88,56.0%
81,3D2,Fiji Islands,N/A,55.8%
82,XX9,Macao,152,55.5%
83,JX,Jan Mayen,118,55.3%
84,KH0,Mariana Islands,N/A,55.2%
85,FT-Z,Amsterdam & St Paul Islands,10,53.8%
86,1S,Spratly Islands,N/A,53.4%
87,R1F,Franz Josef Land,61,53.3%
88,CE0Z,Juan Fernandez Islands,N/A,53.2%
89,CY0,Sable Island,211,52.9%
90,VK9N,Norfolk Island,189,52.8%
91,XU,Cambodia,312,52.3%
