Rank,Prefix,Entity,ADIF Code,Needed %
1,P5,DPRK (North Korea),344,96.2%
2,KH7K,Kure Island,138,94.0%
3,KH3,Johnston Island,123,92.3%
4,VK0M,Macquarie Island,153,89.5%
5,BS7,Scarborough Reef,506,89.3%
6,KH4,Midway Island,174,87.8%
7,3Y-B,Bouvet Island,24,86.8%
8,CE0X,San Felix Islands,217,84.9%
9,3Y-P,Peter 1 Island,199,84.8%
10,ZS8,Prince Edward & Marion Islands,201,83.6%
11,KH1,Baker Howland Islands,20,82.9%
12,JD1-M,Minami Torishima,177,82.0%
13,ZK3,Tokelau Islands,270,81.7%
14,XF4,Revillagigedo,204,81.1%
15,KH9,Wake Island,297,80.9%
16,ZL9,New Zealand Subantarctic Islands,16,79.3%
17,BV9P,Pratas Island,505,79.3%
18,YV0,Aves Island,17,79.1%
19,T31,Central Kiribati,31,78.4%
20,T33,Banaba Island,490,78.4%
21,KH5,Palmyra & Jarvis Islands,197,78.0%
22,FT-X,Kerguelen Island,131,75.1%
23,ZL8,Kermadec Island,133,75.1%
24,PY0S,Saint Peter and Paul Rocks,253,73.7%
25,FK-C,Chesterfield Islands,512,73.0%
26,PY0T,Trindade & Martim Vaz Islands,273,72.7%
27,E5-N,North Cook Islands,191,71.9%
28,FT-W,Crozet Island,41,71.3%
29,KP5,Desecheo Island,43,70.8%
30,VP8-S,South Sandwich Islands,240,70.3%
31,EZ,Turkmenistan,280,70.0%
32,V7,Marshall Islands,N/A,69.7%
33,VK9M,Mellish Reef,171,69.6%
34,3D2-C,Conway Reef,489,69.0%
35,SV/A,Mount Athos,180,68.2%
36,KH8-S,Swains Island,515,68.2%
37,FO-M,Marquesas Islands,509,68.0%
38,FT-T,Tromelin Island,276,67.3%
39,KH8,American Samoa,9,67.2%
40,H40,Temotu Province,507,66.4%
41,FT-G,Glorioso Island,99,66.3%
42,TI9,Cocos Island,37,65.5%
43,A3,Tonga,160,65.4%
44,T30,Western Kiribati,301,65.3%
45,FW,Wallis & Futuna Islands,298,64.4%
46,KP1,Navassa Island,182,63.9%
47,3D2-R,Rotuma,460,63.3%
48,FO,French Polynesia,175,63.2%
49,V6,Micronesia,173,63.1%
50,VK0H,Heard Island,111,63.1%
51,E6,Niue,188,62.9%
52,VP8-G,South Georgia Islands,235,62.7%
53,C2,Nauru,157,62.5%
54,T32,Eastern Kiribati,48,62.5%
55,VK9W,Willis Island,303,61.7%
56,FO-A,Austral Islands,508,61.4%
57,YK,Syria,384,61.3%
58,E5-S,South Cook Islands,234,60.4%
59,VP8-O,South Orkney Islands,238,59.8%
60,KG4,Guantanamo Bay,105,59.4%
61,"FT-J,E","Juan de Nova, Europa",124,59.3%
62,T2,Tuvalu,282,59.0%
63,H4,Solomon Islands,185,58.0%
64,XZ,Myanmar,309,58.0%
65,HK0-M,Malpelo Island,N/A,57.5%
66,FO-C,Clipperton Island,N/A,57.0%
67,1S,Spratly Islands,N/A,57.0%
68,FT-Z,Amsterdam & St Paul Islands,10,56.6%
69,YJ,Vanuatu,158,56.2%
70,4U1UN,United Nations HQ,289,55.9%
71,5W,Samoa,190,55.5%
72,VP6,Pitcairn Island,N/A,55.5%
73,R1F,Franz Josef Land,61,55.1%
74,3C0,Annobon,N/A,54.2%
75,"T5,6O",Somalia,232,54.2%
76,KH0,Mariana Islands,N/A,54.1%
77,XX9,Macao,152,53.8%
78,JD1-O,Ogasawara,192,53.7%
79,VP6-D,Ducie Island,N/A,53.3%
80,CE0Z,Juan Fernandez Islands,N/A,52.9%
81,3D2,Fiji Islands,N/A,52.7%
82,VP8-H,South Shetland Islands,241,52.3%
83,TG,Guatemala,76,52.2%
84,VP8,Falkland Islands,141,51.6%
85,T8,Palau,22,51.5%
86,VK9L,Lord Howe Island,147,51.5%
87,ZD9,Tristan da Cunha & Gough Islands,N/A,50.7%
88,VK9N,Norfolk Island,189,50.6%
89,YN,Nicaragua,86,50.3%
90,V8,Brunei,N/A,50.2%
91,ZL7,Chatham Island,34,49.6%
92,VU4,Andaman & Nicobar Islands,11,49.4%
93,CP,Bolivia,104,49.3%
94,S2,Bangladesh,305,48.8%
95,VQ9,Chagos Islands,33,48.8%
96,HH,Haiti,78,48.7%
97,CY0,Sable Island,211,48.2%
98,KH2,Guam,103,48.1%
99,Z8,Republic of South Sudan,N/A,48.1%
100,CY9,Saint Paul Island,252,47.7%
101,KH6,Hawaii,110,47.4%
102,"9M6,8",East Malaysia,46,46.7%
103,VK9C,Cocos (Keeling) Island,38,46.4%
104,JX,Jan Mayen,118,46.1%
105,A5,Bhutan,306,46.0%
106,CE0Y,Easter Island,N/A,45.9%
107,8R,Guyana,129,45.9%
108,XW,Laos,143,45.9%
109,9Q,Dem. Rep. of the Congo,414,45.6%
110,9U,Burundi,404,45.3%
111,VK9X,Christmas Island,35,45.3%
112,ZD8,Ascension Island,205,45.3%
113,YS,El Salvador,74,45.1%
114,OA,Peru,136,44.9%
115,P2,Papua New Guinea,163,44.9%
116,PY0F,Fernando de Noronha,56,44.5%
117,E3,Eritrea,51,44.5%
118,VP2V,British Virgin Islands,65,44.5%
119,HR,Honduras,80,44.5%
120,9V,Singapore,381,44.4%
121,HK0-A,San Andres Island,216,44.2%
122,XU,Cambodia,312,44.2%
123,FK,New Caledonia,162,44.2%
124,C9,Mozambique,181,44.1%
125,PJ7,Sint Maarten,518,44.0%
126,ET,Ethiopia,53,43.8%
127,HC8,Galapagos Islands,71,43.6%
128,7O,Yemen,492,43.5%
129,5N,Nigeria,450,43.4%
130,7P,Lesotho,432,43.3%
131,3DA,Kingdom of Eswatini,468,43.0%
132,EP,Iran,330,42.8%
133,ZD7,Saint Helena,250,42.7%
134,5U,Niger,187,42.6%
135,AP,Pakistan,372,42.4%
136,ST,Sudan,466,42.4%
137,6Y,Jamaica,82,42.3%
138,FJ,Saint Barthélemy,516,42.2%
139,VP9,Bermuda,64,42.1%
140,D2,Angola,401,42.1%
141,YI,Iraq,333,42.1%
142,S7,Seychelles Islands,379,41.8%
143,KL,Alaska,6,41.8%
144,9L,Sierra Leone,458,41.8%
145,9J,Zambia,482,41.6%
146,9N,Nepal,369,41.6%
147,HP,Panama,88,41.5%
148,5A,Libya,436,41.5%
149,3C,Equatorial Guinea,49,41.4%
150,Z2,Zimbabwe,452,41.0%
151,FH,Mayotte,169,40.9%
152,VP2M,Montserrat,96,40.9%
153,TT,Chad,410,40.6%
154,HV,Vatican City,295,40.4%
155,3X,Guinea,107,40.4%
156,ZP,Paraguay,132,40.2%
157,FP,Saint Pierre & Miquelon,N/A,40.1%
158,TU,Cote d'Ivoire,428,40.1%
159,4W,Timor-Leste,511,40.0%
160,TL,Central African Republic,N/A,39.0%
161,VU7,Lakshadweep Islands,142,38.8%
162,8Q,Maldives,159,38.4%
163,5R,Madagascar,438,38.4%
164,3W,Viet Nam,293,38.3%
165,A2,Botswana,402,38.3%
166,4S,Sri Lanka,315,38.2%
167,J5,Guinea-Bissau,109,38.0%
168,C6,Bahamas,60,38.0%
169,TJ,Cameroon,406,37.8%
170,FR,Reunion Island,453,37.6%
171,SU,Egypt,478,37.5%
172,"PJ5,6",Saba & St Eustatius,N/A,37.3%
173,TN,Republic of the Congo,412,37.3%
174,J8,Saint Vincent,98,36.5%
175,DU,Philippines,375,36.4%
176,J7,Dominica,95,36.2%
177,CE9,Antarctica,13,36.1%
178,BV,Taiwan,386,36.1%
179,FY,French Guiana,63,36.0%
180,VP5,Turks & Caicos Islands,N/A,36.0%
181,V4,Saint Kitts & Nevis,249,36.0%
182,"3B6,7",Agalega & St. Brandon Islands,4,35.9%
183,TI,Costa Rica,308,35.8%
184,3B9,Rodrigues Island,N/A,35.7%
185,FS,Saint Martin,213,35.5%
186,VP2E,Anguilla,12,35.4%
187,5V,Togo,483,35.4%
188,5H,Tanzania,470,35.2%
189,EL,Liberia,434,35.1%
190,J2,Djibouti,382,34.9%
191,VR,Hong Kong,321,34.8%
192,4U1ITU,ITU HQ,117,34.7%
193,YA,Afghanistan,3,34.4%
194,5X,Uganda,286,34.3%
195,9X,Rwanda,454,34.3%
196,UK,Uzbekistan,292,34.0%
197,TR,Gabon,420,34.0%
198,D6,Comoros,411,33.7%
199,PZ,Suriname,140,33.7%
200,7Q,Malawi,440,33.6%
201,6W,Senegal,456,33.3%
202,XT,Burkina Faso,480,33.3%
203,J3,Grenada,77,33.2%
204,TY,Benin,416,32.2%
205,S9,Sao Tome & Principe,219,32.2%
206,J6,Saint Lucia,97,32.1%
207,9M2,West Malaysia,299,31.8%
208,CE,Chile,112,31.8%
209,TZ,Mali,442,31.7%
210,EY,Tajikistan,262,31.6%
211,3B8,Mauritius Island,N/A,31.5%
212,HC,Ecuador,120,31.4%
213,XE,Mexico,50,31.4%
214,ZF,Cayman Islands,N/A,31.0%
215,JT,Mongolia,363,30.7%
216,C5,The Gambia,422,30.6%
217,JW,Svalbard,259,30.6%
218,V2,Antigua & Barbuda,94,30.4%
219,CX,Uruguay,144,30.0%
220,5Z,Kenya,430,29.4%
221,E4,Palestine,510,29.1%
222,ZL,New Zealand,170,29.0%
223,V5,Namibia,464,28.9%
224,A9,Bahrain,304,28.8%
225,S0,Western Sahara,302,28.4%
226,HK,Colombia,116,28.2%
227,FM,Martinique,84,27.9%
228,EX,Kyrgyzstan,135,27.7%
229,PJ2,Curacao,517,27.7%
230,3V,Tunisia,474,27.6%
231,Z6,Republic of Kosovo,522,27.5%
232,EK,Armenia,14,27.3%
233,VU,India,324,27.2%
234,3A,Monaco,260,27.0%
235,HS,Thailand,387,26.8%
236,9G,Ghana,424,26.6%
237,LU,Argentina,100,25.9%
238,HL,Republic of Korea,137,25.9%
239,PJ4,Bonaire,520,25.9%
240,8P,Barbados,62,25.9%
241,P4,Aruba,91,25.8%
242,CM,Cuba,70,25.7%
243,JY,Jordan,342,25.7%
244,OX,Greenland,237,25.6%
245,ZC4,UK Bases on Cyprus,N/A,25.6%
246,YV,Venezuela,148,25.3%
247,V3,Belize,66,24.8%
248,FG,Guadeloupe,79,24.6%
249,ZB,Gibraltar,233,24.4%
250,9Y,Trinidad & Tobago,90,24.1%
251,ZS,Republic of South Africa,462,24.0%
252,1A,Sov Military Order of Malta,N/A,24.0%
253,4J,Azerbaijan,18,23.8%
254,YB,Indonesia,327,23.4%
255,UA2,Kaliningrad,126,22.1%
256,D4,Cape Verde,409,21.5%
257,HI,Dominican Republic,72,21.2%
258,BY,China,318,21.1%
259,5T,Mauritania,444,21.0%
260,KP2,US Virgin Islands,N/A,21.0%
261,HZ,Saudi Arabia,378,20.3%
262,A7,Qatar,376,20.0%
263,7X,Algeria,400,19.5%
264,HB0,Liechtenstein,251,19.2%
265,VK,Australia,150,17.9%
266,OD,Lebanon,354,17.9%
267,T7,San Marino,278,17.5%
268,PY,Brazil,108,15.6%
269,KP4,Puerto Rico,202,15.5%
270,4L,Georgia,75,14.7%
271,C3,Andorra,203,14.7%
272,OJ0,Market Reef,167,14.1%
273,4O,Montenegro,514,13.9%
274,A6,United Arab Emirates,391,13.0%
275,EU,Belarus,27,12.8%
276,EA9,Ceuta & Melilla,32,12.0%
277,ZA,Albania,7,11.9%
278,CN,Morocco,446,11.6%
279,A4,Oman,370,11.5%
280,GU,Guernsey,106,10.9%
281,GD,Isle of Man,114,10.8%
282,TK,Corsica,214,10.6%
283,9H,Malta,257,10.2%
284,ER,Moldova,179,10.0%
285,LX,Luxembourg,254,10.0%
286,Z3,North Macedonia,502,10.0%
287,SV5,Dodecanese,45,9.7%
288,JA,Japan,339,9.7%
289,GJ,Jersey,122,8.7%
290,9K,Kuwait,348,8.6%
291,OM,Slovak Republic,504,8.4%
292,UA9,Asiatic Russia,15,8.3%
293,TF,Iceland,242,8.3%
294,OH0,Aland Islands,5,8.1%
295,OY,Faroe Islands,222,7.8%
296,UN,Kazakhstan,130,7.2%
297,CU,Azores,149,7.0%
298,SV9,Crete,40,6.8%
299,GW,Wales,294,6.8%
300,ON,Belgium,209,6.3%
301,GI,Northern Ireland,265,5.9%
302,PA,Netherlands,263,5.7%
303,VE,Canada,1,5.7%
304,OK,Czech Republic,503,5.5%
305,IS0,Sardinia,225,5.3%
306,S5,Slovenia,499,5.1%
307,OE,Austria,206,5.0%
308,4X,Israel,336,4.9%
309,OZ,Denmark,221,4.9%
310,HB,Switzerland,287,4.7%
311,ES,Estonia,52,4.6%
312,YU,Serbia,296,4.5%
313,5B,Cyprus,215,4.3%
314,TA,Turkey,390,3.9%
315,YL,Latvia,145,3.8%
316,E7,Bosnia-Herzegovina,501,3.8%
317,LY,Lithuania,146,3.7%
318,EA6,Balearic Islands,21,3.6%
319,CT,Portugal,272,3.5%
320,HA,Hungary,239,3.3%
321,EA8,Canary Islands,29,3.2%
322,9A,Croatia,497,3.1%
323,CT3,Madeira Islands,256,3.1%
324,K,United States of America,291,2.9%
325,EI,Ireland,245,2.8%
326,SP,Poland,269,2.5%
327,LA,Norway,266,2.4%
328,YO,Romania,275,2.2%
329,GM,Scotland,279,2.0%
330,SM,Sweden,284,2.0%
331,UA,European Russia,54,1.7%
332,LZ,Bulgaria,212,1.7%
333,G,England,223,1.4%
334,SV,Greece,236,1.2%
335,OH,Finland,224,1.2%
336,UR,Ukraine,288,1.0%
337,F,France,227,0.8%
338,I,Italy,248,0.7%
339,EA,Spain,281,0.6%
340,DL,Federal Republic of Germany,N/A,0.3%
