Rank,Prefix,Entity,ADIF Code,Needed %
1,P5,DPRK (North Korea),344,96.4%
2,KH7K,Kure Island,138,95.4%
3,KH4,Midway Island,174,94.7%
4,VK0M,Macquarie Island,153,94.3%
5,BS7,Scarborough Reef,506,93.6%
6,T31,Central Kiribati,31,93.5%
7,KH5,Palmyra & Jarvis Islands,197,92.5%
8,KH3,Johnston Island,123,92.5%
9,3Y-B,Bouvet Island,24,91.1%
10,FT-W,Crozet Island,41,91.0%
11,ZK3,Tokelau Islands,270,90.5%
12,T33,Banaba Island,490,89.8%
13,JD1-M,Minami Torishima,177,89.7%
14,3Y-P,Peter 1 Island,199,89.2%
15,XF4,Revillagigedo,204,88.4%
16,ZL9,New Zealand Subantarctic Islands,16,87.4%
17,CE0X,San Felix Islands,217,86.0%
18,E5-N,North Cook Islands,191,85.9%
19,KH1,Baker Howland Islands,20,85.8%
20,VP8-S,South Sandwich Islands,240,85.7%
21,C2,Nauru,157,85.3%
22,BV9P,Pratas Island,505,84.9%
23,ZL8,Kermadec Island,133,84.8%
24,KH9,Wake Island,297,84.7%
25,KH8-S,Swains Island,515,84.6%
26,FT-X,Kerguelen Island,131,84.2%
27,VK0H,Heard Island,111,83.9%
28,V7,Marshall Islands,N/A,83.7%
29,VP8-G,South Georgia Islands,235,83.5%
30,FW,Wallis & Futuna Islands,298,83.2%
31,T30,Western Kiribati,301,82.9%
32,FO-M,Marquesas Islands,509,82.4%
33,KH8,American Samoa,9,82.3%
34,PY0S,Saint Peter and Paul Rocks,253,82.3%
35,YV0,Aves Island,17,82.1%
36,FO-A,Austral Islands,508,81.9%
37,FK-C,Chesterfield Islands,512,81.8%
38,VK9M,Mellish Reef,171,81.7%
39,3D2-R,Rotuma,460,81.3%
40,VP8-O,South Orkney Islands,238,81.2%
41,H40,Temotu Province,507,80.8%
42,3D2-C,Conway Reef,489,80.1%
43,KP1,Navassa Island,182,80.1%
44,ZS8,Prince Edward & Marion Islands,201,79.9%
45,FT-G,Glorioso Island,99,79.4%
46,E6,Niue,188,78.9%
47,KP5,Desecheo Island,43,78.7%
48,V6,Micronesia,173,78.3%
49,YJ,Vanuatu,158,78.0%
50,T2,Tuvalu,282,78.0%
51,PY0T,Trindade & Martim Vaz Islands,273,78.0%
52,EZ,Turkmenistan,280,77.9%
53,R1F,Franz Josef Land,61,77.6%
54,4U1UN,United Nations HQ,289,77.6%
55,FO,French Polynesia,175,77.6%
56,3D2,Fiji Islands,N/A,77.6%
57,5W,Samoa,190,77.4%
58,TI9,Cocos Island,37,77.0%
59,VP6,Pitcairn Island,N/A,77.0%
60,A3,Tonga,160,77.0%
61,3C,Equatorial Guinea,49,76.7%
62,VP8-H,South Shetland Islands,241,76.4%
63,T32,Eastern Kiribati,48,76.2%
64,FO-C,Clipperton Island,N/A,76.1%
65,E5-S,South Cook Islands,234,75.4%
66,VK9N,Norfolk Island,189,75.1%
67,CE0Z,Juan Fernandez Islands,N/A,74.7%
68,VK9W,Willis Island,303,74.7%
69,Z8,Republic of South Sudan,N/A,74.2%
70,ZD9,Tristan da Cunha & Gough Islands,N/A,73.7%
71,T8,Palau,22,73.5%
72,S2,Bangladesh,305,73.0%
73,JD1-O,Ogasawara,192,72.3%
74,XX9,Macao,152,72.2%
75,YK,Syria,384,72.2%
76,KG4,Guantanamo Bay,105,71.8%
77,1S,Spratly Islands,N/A,71.6%
78,HH,Haiti,78,71.4%
79,ZL7,Chatham Island,34,71.2%
80,VQ9,Chagos Islands,33,71.0%
81,VP6-D,Ducie Island,N/A,70.4%
82,CP,Bolivia,104,69.8%
83,V8,Brunei,N/A,69.4%
84,SV/A,Mount Athos,180,69.1%
85,"FT-J,E","Juan de Nova, Europa",124,68.9%
86,CE0Y,Easter Island,N/A,68.0%
87,TG,Guatemala,76,67.1%
88,VU4,Andaman & Nicobar Islands,11,67.1%
89,KH2,Guam,103,67.0%
90,FT-T,Tromelin Island,276,66.7%
91,H4,Solomon Islands,185,66.4%
92,FK,New Caledonia,162,66.3%
93,P2,Papua New Guinea,163,66.3%
94,"9M6,8",East Malaysia,46,66.1%
95,XU,Cambodia,312,66.0%
96,FT-Z,Amsterdam & St Paul Islands,10,65.7%
97,XZ,Myanmar,309,65.6%
98,"T5,6O",Somalia,232,65.3%
99,KH6,Hawaii,110,65.3%
100,HR,Honduras,80,65.2%
101,VP2V,British Virgin Islands,65,64.6%
102,VK9L,Lord Howe Island,147,64.6%
103,UK,Uzbekistan,292,64.5%
104,OA,Peru,136,64.3%
105,C6,Bahamas,60,64.1%
106,3C0,Annobon,N/A,63.8%
107,VK9C,Cocos (Keeling) Island,38,63.8%
108,3B8,Mauritius Island,N/A,63.6%
109,HC,Ecuador,120,63.6%
110,CY0,Sable Island,211,63.2%
111,XW,Laos,143,62.7%
112,9V,Singapore,381,62.6%
113,HK0-M,Malpelo Island,N/A,62.5%
114,YS,El Salvador,74,62.4%
115,AP,Pakistan,372,62.4%
116,D2,Angola,401,62.2%
117,6Y,Jamaica,82,61.8%
118,YN,Nicaragua,86,61.7%
119,VU7,Lakshadweep Islands,142,61.5%
120,CY9,Saint Paul Island,252,61.4%
121,CE9,Antarctica,13,61.3%
122,4W,Timor-Leste,511,61.1%
123,ET,Ethiopia,53,61.1%
124,PJ7,Sint Maarten,518,61.1%
125,3DA,Kingdom of Eswatini,468,60.7%
126,KH0,Mariana Islands,N/A,60.6%
127,BV,Taiwan,386,60.6%
128,KL,Alaska,6,60.2%
129,C9,Mozambique,181,60.2%
130,DU,Philippines,375,60.1%
131,4S,Sri Lanka,315,60.1%
132,YA,Afghanistan,3,60.1%
133,VK9X,Christmas Island,35,60.0%
134,VP8,Falkland Islands,141,59.9%
135,3W,Viet Nam,293,59.9%
136,9L,Sierra Leone,458,59.8%
137,9U,Burundi,404,59.2%
138,HC8,Galapagos Islands,71,59.0%
139,Z2,Zimbabwe,452,58.7%
140,J7,Dominica,95,58.7%
141,HP,Panama,88,58.7%
142,9J,Zambia,482,58.5%
143,8R,Guyana,129,58.4%
144,ZP,Paraguay,132,58.2%
145,A2,Botswana,402,58.2%
146,7P,Lesotho,432,58.2%
147,ST,Sudan,466,58.1%
148,TT,Chad,410,58.1%
149,8Q,Maldives,159,57.7%
150,ZD8,Ascension Island,205,57.4%
151,PY0F,Fernando de Noronha,56,57.3%
152,9Q,Dem. Rep. of the Congo,414,57.1%
153,FJ,Saint Barthélemy,516,57.1%
